"","year","SUBURB","n"
"652","2019","GLADSTONE PARK",86
"653","2019","GLADYSDALE",1
"654","2019","GLEN HUNTLY",76
"655","2019","GLEN IRIS",329
"656","2019","GLEN WAVERLEY",470
"657","2019","GLENROY",378
"658","2019","GOWANBRAE",23
"659","2019","GREENSBOROUGH",345
"660","2019","GREENVALE",188
"661","2019","GRUYERE",7
"662","2019","GUYS HILL",3
"663","2019","HADFIELD",104
"664","2019","HALLAM",126
"665","2019","HAMPTON",204
"666","2019","HAMPTON EAST",75
"667","2019","HAMPTON PARK",272
"668","2019","HARKAWAY",6
"669","2019","HARKNESS",206
"670","2019","HASTINGS",193
"671","2019","HAWTHORN",339
"672","2019","HAWTHORN EAST",195
"673","2019","HEALESVILLE",139
"674","2019","HEATHERTON",34
"675","2019","HEATHMONT",133
"676","2019","HEIDELBERG",98
"677","2019","HEIDELBERG HEIGHTS",108
"678","2019","HEIDELBERG WEST",78
"679","2019","HIGHETT",215
"680","2019","HILLSIDE",175
"681","2019","HODDLES CREEK",4
"682","2019","HOPPERS CROSSING",439
"683","2019","HUGHESDALE",96
"684","2019","HUMEVALE",1
"685","2019","HUNTINGDALE",22
"686","2019","HURSTBRIDGE",50
"687","2019","IONA",1
"688","2019","IVANHOE",173
"689","2019","IVANHOE EAST",42
"690","2019","JACANA",40
"691","2019","JUNCTION VILLAGE",12
"692","2019","KALKALLO",74
"693","2019","KALLISTA",18
"694","2019","KALORAMA",25
"695","2019","KANGAROO GROUND",10
"696","2019","KEALBA",18
"697","2019","KEILOR",61
"698","2019","KEILOR DOWNS",71
"699","2019","KEILOR EAST",192
"700","2019","KEILOR LODGE",2
"701","2019","KEILOR NORTH",1
"702","2019","KEILOR PARK",20
"703","2019","KENSINGTON",196
"704","2019","KEW",302
"705","2019","KEW EAST",71
"706","2019","KEYSBOROUGH",308
"707","2019","KILSYTH",211
"708","2019","KILSYTH SOUTH",22
"709","2019","KINGS PARK",61
"710","2019","KINGSBURY",34
"711","2019","KINGSVILLE",83
"712","2019","KNOXFIELD",101
"713","2019","KOO WEE RUP",52
"714","2019","KOOYONG",6
"715","2019","KURUNJANG",157
"716","2019","LALOR",220
"717","2019","LANG LANG",35
"718","2019","LANG LANG EAST",1
"719","2019","LANGWARRIN",367
"720","2019","LANGWARRIN SOUTH",7
"721","2019","LAUNCHING PLACE",38
"722","2019","LAVERTON",95
"723","2019","LILYDALE",270
"724","2019","LITTLE RIVER",7
"725","2019","LOWER PLENTY",63
"726","2019","LYNBROOK",62
"727","2019","LYNDHURST",102
"728","2019","LYSTERFIELD",60
"729","2019","LYSTERFIELD SOUTH",6
"730","2019","MACCLESFIELD",5
"731","2019","MACLEOD",130
"732","2019","MAIDSTONE",151
"733","2019","MAIN RIDGE",4
"734","2019","MALVERN",121
"735","2019","MALVERN EAST",255
"736","2019","MAMBOURIN",1
"737","2019","MANOR LAKES",135
"738","2019","MARIBYRNONG",183
"739","2019","MARYKNOLL",3
"740","2019","MCCRAE",73
"741","2019","MCKINNON",70
"742","2019","MCMAHONS CREEK",6
"743","2019","MEADOW HEIGHTS",132
"744","2019","MELBOURNE",732
"745","2019","MELTON",177
"746","2019","MELTON SOUTH",249
"747","2019","MELTON WEST",166
"748","2019","MENTONE",205
"749","2019","MENZIES CREEK",10
"750","2019","MERNDA",339
"751","2019","MERRICKS",3
"752","2019","MERRICKS BEACH",2
"753","2019","MERRICKS NORTH",5
"754","2019","MICKLEHAM",237
"755","2019","MIDDLE PARK",48
"756","2019","MILL PARK",279
"757","2019","MILLGROVE",37
"758","2019","MITCHAM",240
"759","2019","MONBULK",36
"760","2019","MONOMEITH",1
"761","2019","MONT ALBERT",58
"762","2019","MONT ALBERT NORTH",88
"763","2019","MONTMORENCY",147
"764","2019","MONTROSE",82
"765","2019","MOONEE PONDS",184
"766","2019","MOORABBIN",102
"767","2019","MOOROODUC",2
"768","2019","MOOROOLBARK",342
"769","2019","MORDIALLOC",148
"770","2019","MORNINGTON",514
"771","2019","MOUNT DANDENONG",22
"772","2019","MOUNT ELIZA",310
"773","2019","MOUNT EVELYN",122
"774","2019","MOUNT MARTHA",355
"775","2019","MOUNT TOOLEBEWONG",1
"776","2019","MOUNT WAVERLEY",509
"777","2019","MULGRAVE",215
"778","2019","MURRUMBEENA",135
"779","2019","NAR NAR GOON",4
"780","2019","NAR NAR GOON NORTH",4
"781","2019","NARRE WARREN",335
"782","2019","NARRE WARREN EAST",3
"783","2019","NARRE WARREN NORTH",54
"784","2019","NARRE WARREN SOUTH",338
"785","2019","NEWPORT",232
"786","2019","NIDDRIE",89
"787","2019","NOBLE PARK",387
"788","2019","NOBLE PARK NORTH",53
"789","2019","NORTH MELBOURNE",193
"790","2019","NORTH WARRANDYTE",39
"791","2019","NORTHCOTE",379
"792","2019","NOTTING HILL",45
"793","2019","NUNAWADING",152
"794","2019","OAK PARK",103
"795","2019","OAKLANDS JUNCTION",2
"796","2019","OAKLEIGH",79
"797","2019","OAKLEIGH EAST",77
"798","2019","OAKLEIGH SOUTH",111
"799","2019","OFFICER",247
"800","2019","OFFICER SOUTH",2
"801","2019","OLINDA",25
"802","2019","ORMOND",100
"803","2019","PAKENHAM",959
"804","2019","PAKENHAM SOUTH",2
"805","2019","PAKENHAM UPPER",4
"806","2019","PANTON HILL",6
"807","2019","PARK ORCHARDS",35
"808","2019","PARKDALE",185
"809","2019","PARKVILLE",51
